,-1: Completion Percentage,-1.1: Success Percentage
OO,100.0,33.3
[O]O,100.0,0.0
[O][O],100.0,0.0
CC(C)CC(C)(C)C,90.0,45.0
CCC(C)CC(C)C,100.0,65.7
CCCCC(C)CC,100.0,60.0
CCC(C)(C)O,100.0,65.0
CCCC(C)CO,100.0,57.1
CCCC(C)C=C(C)C,94.3,28.6
CC1CCCC1,100.0,60.0
C=CC(C)=CCCC(=C)C,97.5,32.5
CC1C=CC(C)=CC=1,100.0,50.0
CC(C)CC(=O)CC(C)C,100.0,46.7
CC(=O)C(C)CC(C)C,96.7,50.0
CC(C)(C)OCC(CO)OC(C)(C)C,93.3,33.3
CCC(CC)OC(C)C,100.0,36.0
CC1=CCC2CC1C2(C)C,100.0,48.6
CC(=O)OCCC(C)C,100.0,36.0
CCOC(=O)C(C)C,100.0,50.0
CC1=CCCC1=O,95.0,65.0
CCCCCC1CCC(C)O1,98.0,52.0
CCCCC=C(C)C,83.3,40.0
CCCC=CC(C)C,94.3,40.0
CCC=CCC(C)C,91.4,34.3
CC=CCCC(C)C,94.3,45.7
C=CCCCC(C)C,97.1,51.4
O,100.0,0.0
[O],100.0,100.0
C,100.0,50.0
[CH3],100.0,0.0
